date,low,high,volume,close,symbol,next_close,target
2025-01-14,25.5,25.9,51558,25.5,ABL,25.5,0
2025-01-15,25.4,25.9,58267,25.5,ABL,25.0,0
2025-01-16,25.0,25.5,29893,25.0,ABL,25.5,1
2025-01-19,25.0,25.5,4887936,25.5,ABL,25.5,0
2025-01-20,25.3,25.9,154075,25.5,ABL,25.4,0
2025-01-21,25.3,25.7,70194,25.4,ABL,25.0,0
2025-01-22,25.0,25.5,353444,25.0,ABL,25.0,0
2025-01-23,25.0,25.5,96663,25.0,ABL,25.5,1
2025-01-26,25.0,25.5,105891,25.5,ABL,25.2,0
2025-01-27,25.1,25.6,24322,25.2,ABL,25.4,1
2025-01-28,25.1,25.5,16534029,25.4,ABL,25.6,1
2025-01-29,25.4,25.7,847338,25.6,ABL,25.6,0
2025-01-30,25.5,25.6,117715,25.6,ABL,25.4,0
2025-02-02,25.3,25.6,29919,25.4,ABL,25.1,0
2025-02-04,25.1,25.6,67122,25.1,ABL,25.0,0
2025-02-05,24.6,25.5,16577088,25.0,ABL,25.0,0
2025-02-09,25.0,25.6,8253281,25.0,ABL,24.8,0
2025-02-10,24.7,25.0,33553,24.8,ABL,24.9,1
2025-02-12,24.6,24.9,23562,24.9,ABL,24.9,0
2025-02-13,24.5,25.0,17286,24.9,ABL,24.9,0
2025-02-16,24.7,25.0,25419,24.9,ABL,25.0,1
2025-02-17,24.9,25.1,55190,25.0,ABL,25.0,0
2025-02-18,24.7,25.0,101903,25.0,ABL,24.8,0
2025-02-20,24.6,25.0,132663,24.8,ABL,24.5,0
2025-02-23,24.4,24.8,75283,24.5,ABL,24.4,0
2025-02-24,24.2,24.5,28190,24.4,ABL,24.5,1
2025-02-26,24.4,24.8,11597,24.5,ABL,24.5,0
2025-02-27,24.3,24.5,3038,24.5,ABL,24.0,0
2025-03-02,23.9,24.2,45598,24.0,ABL,23.8,0
2025-03-03,23.7,24.1,13228,23.8,ABL,24.0,1
2025-03-04,23.8,24.0,46403,24.0,ABL,23.8,0
2025-03-05,23.7,24.0,24147,23.8,ABL,23.6,0
2025-03-06,23.6,23.7,19449,23.6,ABL,23.9,1
2025-03-09,23.5,23.9,2337,23.9,ABL,23.5,0
2025-03-10,23.5,24.0,8432,23.5,ABL,24.3,1
2025-03-11,23.5,24.5,1985,24.3,ABL,24.0,0
2025-03-13,23.6,24.5,367069,24.0,ABL,23.4,0
2025-03-16,23.2,24.0,190391,23.4,ABL,23.3,0
2025-03-17,23.2,24.0,38845,23.3,ABL,23.3,0
2025-03-18,23.2,24.0,122770,23.3,ABL,23.5,1
2025-03-19,23.2,23.9,41824,23.5,ABL,23.5,0
2025-03-20,23.3,23.5,2321,23.5,ABL,23.2,0
2025-03-24,23.2,23.5,46849,23.2,ABL,23.2,0
2025-03-25,23.2,23.6,1098,23.2,ABL,23.1,0
2025-03-26,23.1,23.5,47375,23.1,ABL,23.1,0
2025-03-27,23.0,23.3,57587,23.1,ABL,22.6,0
2025-03-31,22.5,23.3,337274,22.6,ABL,22.5,0
2025-04-01,22.4,23.4,112672,22.5,ABL,22.4,0
2025-04-02,22.4,22.7,10523,22.4,ABL,22.4,0
2025-04-03,22.4,22.5,10819,22.4,ABL,22.2,0
2025-04-06,22.1,24.4,66457,22.2,ABL,22.7,1
2025-04-07,22.2,23.0,44663,22.7,ABL,23.1,1
2025-04-08,22.5,23.7,1537,23.1,ABL,22.9,0
2025-04-09,22.6,23.1,380374,22.9,ABL,23.0,1
2025-04-10,23.0,23.4,1025,23.0,ABL,23.0,0
2025-04-15,22.9,23.0,63496,23.0,ABL,22.5,0
2025-04-16,22.4,23.0,18261,22.5,ABL,22.9,1
2025-04-20,22.6,23.0,60545,22.9,ABL,22.9,0
2025-04-21,22.8,22.9,256,22.9,ABL,22.6,0
2025-04-22,22.6,22.8,42781,22.6,ABL,22.7,1
2025-04-23,22.5,22.7,97528,22.7,ABL,22.5,0
2025-04-24,22.4,22.8,39636,22.5,ABL,22.7,1
2025-04-27,22.5,23.0,23830,22.7,ABL,23.0,1
2025-04-28,22.8,23.0,33673,23.0,ABL,22.5,0
2025-04-29,22.5,23.0,9982,22.5,ABL,22.6,1
2025-05-01,22.6,23.0,2101,22.6,ABL,22.5,0
2025-05-04,22.4,23.0,124071,22.5,ABL,22.7,1
2025-05-05,22.7,22.8,18210,22.7,ABL,22.7,0
2025-05-06,22.7,22.8,328,22.7,ABL,23.0,1
2025-05-07,22.7,23.0,2114,23.0,ABL,23.0,0
2025-05-08,22.8,23.0,296223,23.0,ABL,22.6,0
2025-05-13,22.5,23.0,145795,22.6,ABL,23.0,1
2025-05-14,22.6,23.0,92287,23.0,ABL,22.9,0
2025-05-15,22.7,23.0,57128,22.9,ABL,22.9,0
2025-05-18,22.8,23.0,15682,22.9,ABL,23.0,1
2025-05-19,22.7,23.0,28306,23.0,ABL,22.9,0
2025-05-20,22.6,23.0,28190,22.9,ABL,22.9,0
2025-05-21,22.8,23.0,11569,22.9,ABL,22.8,0
2025-05-22,22.6,23.0,45012,22.8,ABL,22.8,0
2025-05-25,22.7,23.0,7736,22.8,ABL,22.7,0
2025-05-26,22.5,23.0,67445,22.7,ABL,23.0,1
2025-05-27,22.7,23.5,172713,23.0,ABL,23.0,0
2025-05-28,22.9,23.2,149725,23.0,ABL,23.3,1
2025-05-29,22.6,24.9,147651,23.3,ABL,23.1,0
2025-06-01,22.9,23.6,14550,23.1,ABL,23.2,1
2025-06-02,22.8,23.8,56187,23.2,ABL,23.0,0
2025-06-03,22.9,23.8,91572,23.0,ABL,23.0,0
2025-06-04,22.9,23.9,143919,23.0,ABL,23.0,0
2025-06-05,22.9,23.9,134368,23.0,ABL,22.5,0
2025-06-08,22.4,23.8,1534976,22.5,ABL,22.5,0
2025-06-10,22.4,23.0,716853,22.5,ABL,22.8,1
2025-06-11,22.5,22.9,80210,22.8,ABL,22.5,0
2025-06-12,22.5,23.0,26677,22.5,ABL,22.6,1
2025-06-15,22.6,23.0,5966,22.6,ABL,22.5,0
2025-06-16,22.4,22.9,133515,22.5,ABL,22.3,0
2025-06-18,22.2,22.9,42376,22.3,ABL,22.4,1
2025-06-19,22.0,22.5,344646,22.4,ABL,21.8,0
2025-06-22,21.7,22.0,190389,21.8,ABL,21.9,1
2025-06-23,21.8,22.4,207842,21.9,ABL,22.1,1
2025-06-24,22.0,22.4,25616,22.1,ABL,22.7,1
2025-06-25,22.0,23.0,110940,22.7,ABL,22.5,0
2025-06-26,22.2,22.9,151218,22.5,ABL,22.5,0
2025-06-29,22.3,22.6,267745,22.5,ABL,22.0,0
2025-06-30,21.9,22.6,1638226,22.0,ABL,22.0,0
2025-07-01,21.9,22.3,241308,22.0,ABL,22.0,0
2025-07-02,22.0,22.5,347499,22.0,ABL,22.1,1
2025-07-03,22.0,22.5,1054821,22.1,ABL,22.0,0
2025-07-06,22.0,22.5,41588,22.0,ABL,22.4,1
2025-07-07,22.0,22.6,109022,22.4,ABL,22.5,1
2025-07-08,22.0,22.6,45447,22.5,ABL,22.6,1
2025-07-10,22.1,22.8,452615,22.6,ABL,23.1,1
2025-07-13,22.5,23.1,465535,23.1,ABL,22.9,0
2025-07-14,22.9,23.3,475783,22.9,ABL,23.1,1
2025-07-15,23.1,23.2,449489,23.1,ABL,23.0,0
2025-07-16,23.0,23.2,76388,23.0,ABL,23.0,0
2025-07-18,22.6,23.2,144534,23.0,ABL,23.0,0
2025-07-20,22.8,23.4,674396,23.0,ABL,23.1,1
2025-07-21,22.9,23.3,97225,23.1,ABL,23.8,1
2025-07-22,23.3,24.0,828341,23.8,ABL,24.5,1
2025-07-23,23.8,24.8,693809,24.5,ABL,24.4,0
2025-07-24,24.3,24.8,213703,24.4,ABL,23.9,0
2025-07-27,23.9,24.5,240981,23.9,ABL,24.0,1
2025-07-28,23.8,24.2,52989,24.0,ABL,24.0,0
2025-07-29,23.7,24.2,9541,24.0,ABL,23.9,0
2025-07-30,23.5,24.2,248127,23.9,ABL,24.2,1
2025-07-31,23.8,24.3,78859,24.2,ABL,24.3,1
2025-08-03,23.8,24.5,101452,24.3,ABL,24.1,0
2025-08-04,24.0,24.4,12517,24.1,ABL,24.0,0
2025-08-05,24.0,24.3,73873,24.0,ABL,24.4,1
2025-08-06,24.1,25.0,159578,24.4,ABL,24.8,1
2025-08-10,24.5,25.0,305209,24.8,ABL,24.8,0
2025-08-11,24.5,24.9,66771,24.8,ABL,24.7,0
2025-08-12,24.6,25.0,39757,24.7,ABL,24.6,0
2025-08-13,24.6,24.8,34926,24.6,ABL,24.9,1
2025-08-14,24.7,25.2,288850,24.9,ABL,25.5,1
2025-08-17,25.0,25.8,1128006,25.5,ABL,26.4,1
2025-08-18,25.3,27.0,883467,26.4,ABL,29.0,1
2025-08-19,27.0,29.5,5715428,29.0,ABL,28.2,0
2025-08-20,27.6,29.3,1295084,28.2,ABL,28.4,1
2025-08-21,28.2,29.0,925789,28.4,ABL,27.8,0
2025-08-24,27.6,28.7,249971,27.8,ABL,27.8,0
2025-08-25,27.5,28.0,137612,27.8,ABL,27.6,0
2025-08-26,27.5,27.9,237896,27.6,ABL,27.4,0
2025-08-27,27.4,27.9,64243,27.4,ABL,27.4,0
2025-08-28,27.1,27.9,153033,27.4,ABL,27.2,0
2025-08-31,27.1,27.5,115372,27.2,ABL,27.3,1
2025-09-01,27.2,27.5,79837,27.3,ABL,26.9,0
2025-09-02,26.9,27.5,270557,26.9,ABL,26.9,0
2025-09-03,26.6,27.2,85451,26.9,ABL,26.7,0
2025-09-07,26.6,27.2,223281,26.7,ABL,26.1,0
2025-09-08,26.0,26.8,337861,26.1,ABL,26.6,1
2025-09-09,25.5,26.9,152752,26.6,ABL,26.3,0
2025-09-10,26.0,26.8,89042,26.3,ABL,26.5,1
2025-09-11,26.0,26.6,66118,26.5,ABL,25.9,0
2025-09-14,25.6,26.6,111085,25.9,ABL,26.0,1
2025-09-15,25.7,26.1,104441,26.0,ABL,26.0,0
2025-09-16,25.9,26.2,52327,26.0,ABL,26.0,0
2025-09-17,26.0,26.5,130139,26.0,ABL,25.9,0
2025-09-18,25.7,26.5,454135,25.9,ABL,28.0,1
2025-09-21,27.1,29.0,2251654,28.0,ABL,28.0,0
2025-09-22,27.9,28.3,172093,28.0,ABL,27.8,0
2025-09-23,27.8,28.1,281644,27.8,ABL,27.9,1
2025-09-24,27.9,28.1,170287,27.9,ABL,28.1,1
2025-09-25,27.9,28.2,629168,28.1,ABL,28.2,1
2025-09-28,28.1,28.3,346999,28.2,ABL,27.4,0
2025-09-29,26.6,27.5,370085,27.4,ABL,27.4,0
2025-09-30,27.0,27.5,270972,27.4,ABL,27.4,0
2025-10-01,26.6,27.9,215403,27.4,ABL,29.0,1
2025-10-02,27.5,29.5,790813,29.0,ABL,29.3,1
2025-10-06,28.9,29.5,1151151,29.3,ABL,29.0,0
