date,high,low,close,volume
2025-01-14 18:30:00,25.9,25.5,25.5,51558
2025-01-15 18:30:00,25.9,25.4,25.5,58267
2025-01-16 18:30:00,25.5,25.0,25.0,29893
2025-01-19 18:30:00,25.5,25.0,25.5,4887936
2025-01-20 18:30:00,25.9,25.3,25.5,154075
2025-01-21 18:30:00,25.7,25.3,25.4,70194
2025-01-22 18:30:00,25.5,25.0,25.0,353444
2025-01-23 18:30:00,25.5,25.0,25.0,96663
2025-01-26 18:30:00,25.5,25.0,25.5,105891
2025-01-27 18:30:00,25.6,25.1,25.2,24322
2025-01-28 18:30:00,25.5,25.1,25.4,16534029
2025-01-29 18:30:00,25.7,25.4,25.6,847338
2025-01-30 18:30:00,25.6,25.5,25.6,117715
2025-02-02 18:30:00,25.6,25.3,25.4,29919
2025-02-04 18:30:00,25.6,25.1,25.1,67122
2025-02-05 18:30:00,25.5,24.6,25.0,16577088
2025-02-06 18:30:00,25.5,,25.0,27758
2025-02-09 18:30:00,25.6,25.0,25.0,8253281
2025-02-10 18:30:00,25.0,24.7,24.8,33553
2025-02-12 18:30:00,24.9,24.6,24.9,23562
2025-02-13 18:30:00,25.0,24.5,24.9,17286
2025-02-16 18:30:00,25.0,24.7,24.9,25419
2025-02-17 18:30:00,25.1,24.9,25.0,55190
2025-02-18 18:30:00,25.0,24.7,25.0,101903
2025-02-20 04:00:07,25.0,24.5,24.9,38352
2025-02-20 18:30:00,25.0,24.6,24.8,132663
2025-02-23 18:30:00,24.8,24.4,24.5,75283
2025-02-24 18:30:00,24.5,24.2,24.4,28190
2025-02-26 18:30:00,24.8,24.4,24.5,11597
2025-02-27 18:30:00,24.5,24.3,24.5,3038
2025-03-02 18:30:00,24.2,23.9,24.0,45598
2025-03-03 18:30:00,24.1,23.7,23.8,13228
2025-03-04 18:30:00,24.0,23.8,24.0,46403
2025-03-05 18:30:00,24.0,23.7,23.8,24147
2025-03-06 18:30:00,23.7,23.6,23.6,19449
2025-03-09 18:30:00,23.9,23.5,23.9,2337
2025-03-10 18:30:00,24.0,23.5,23.5,8432
2025-03-11 18:30:00,24.5,23.5,24.3,1985
2025-03-13 18:30:00,24.5,23.6,24.0,367069
2025-03-16 18:30:00,24.0,23.2,23.4,190391
2025-03-17 18:30:00,24.0,23.2,23.3,38845
2025-03-18 18:30:00,24.0,23.2,23.3,122770
2025-03-19 18:30:00,23.9,23.2,23.5,41824
2025-03-20 18:30:00,23.5,23.3,23.5,2321
2025-03-24 04:05:46,23.5,23.4,23.4,46849
2025-03-24 18:30:00,23.5,23.2,23.2,46849
2025-03-25 18:30:00,23.6,23.2,23.2,1098
2025-03-26 18:30:00,23.5,23.1,23.1,47375
2025-03-27 18:30:00,23.3,23.0,23.1,57587
2025-03-31 18:30:00,23.3,22.5,22.6,337274
2025-04-01 18:30:00,23.4,22.4,22.5,112672
2025-04-02 18:30:00,22.7,22.4,22.4,10523
2025-04-03 18:30:00,22.5,22.4,22.4,10819
2025-04-06 18:30:00,24.4,22.1,22.2,66457
2025-04-07 18:30:00,23.0,22.2,22.7,44663
2025-04-08 18:30:00,23.7,22.5,23.1,1537
2025-04-09 18:30:00,23.1,22.6,22.9,380374
2025-04-10 18:30:00,23.4,23.0,23.0,1025
2025-04-15 18:30:00,23.0,22.9,23.0,63496
2025-04-16 18:30:00,23.0,22.4,22.5,18261
2025-04-20 18:30:00,23.0,22.6,22.9,60545
2025-04-21 18:30:00,22.9,22.8,22.9,256
2025-04-22 18:30:00,22.8,22.6,22.6,42781
2025-04-23 18:30:00,22.7,22.5,22.7,97528
2025-04-24 18:30:00,22.8,22.4,22.5,39636
2025-04-27 18:30:00,23.0,22.5,22.7,23830
2025-04-28 18:30:00,23.0,22.8,23.0,33673
2025-04-29 18:30:00,23.0,22.5,22.5,9982
2025-05-01 18:30:00,23.0,22.6,22.6,2101
2025-05-04 18:30:00,23.0,22.4,22.5,124071
2025-05-05 18:30:00,22.8,22.7,22.7,18210
2025-05-06 18:30:00,22.8,22.7,22.7,328
2025-05-07 18:30:00,23.0,22.7,23.0,2114
2025-05-08 18:30:00,23.0,22.8,23.0,296223
2025-05-13 18:30:00,23.0,22.5,22.6,145795
2025-05-14 18:30:00,23.0,22.6,23.0,92287
2025-05-15 18:30:00,23.0,22.7,22.9,57128
2025-05-18 18:30:00,23.0,22.8,22.9,15682
2025-05-19 18:30:00,23.0,22.7,23.0,28306
2025-05-20 18:30:00,23.0,22.6,22.9,28190
2025-05-21 18:30:00,23.0,22.8,22.9,11569
2025-05-22 18:30:00,23.0,22.6,22.8,45012
2025-05-25 18:30:00,23.0,22.7,22.8,7736
2025-05-26 18:30:00,23.0,22.5,22.7,67445
2025-05-27 18:30:00,23.5,22.7,23.0,172713
2025-05-28 18:30:00,23.2,22.9,23.0,149725
2025-05-29 18:30:00,24.9,22.6,23.3,147651
2025-06-01 18:30:00,23.6,22.9,23.1,14550
2025-06-02 18:30:00,23.8,22.8,23.2,56187
2025-06-03 18:30:00,23.8,22.9,23.0,91572
2025-06-04 18:30:00,23.9,22.9,23.0,143919
2025-06-05 18:30:00,23.9,22.9,23.0,134368
2025-06-08 18:30:00,23.8,22.4,22.5,1534976
2025-06-10 18:30:00,23.0,22.4,22.5,716853
2025-06-11 18:30:00,22.9,22.5,22.8,80210
2025-06-12 18:30:00,23.0,22.5,22.5,26677
2025-06-15 18:30:00,23.0,22.6,22.6,5966
2025-06-16 18:30:00,22.9,22.4,22.5,133515
2025-06-17 18:30:00,23.1,,22.4,135745
2025-06-18 18:30:00,22.9,22.2,22.3,42376
2025-06-19 18:30:00,22.5,22.0,22.4,344646
2025-06-22 18:30:00,22.0,21.7,21.8,190389
2025-06-23 18:30:00,22.4,21.8,21.9,207842
2025-06-24 18:30:00,22.4,22.0,22.1,25616
2025-06-25 18:30:00,23.0,22.0,22.7,110940
2025-06-26 18:30:00,22.9,22.2,22.5,151218
2025-06-29 18:30:00,22.6,22.3,22.5,267745
2025-06-30 18:30:00,22.6,21.9,22.0,1638226
2025-07-01 18:30:00,22.3,21.9,22.0,241308
2025-07-02 18:30:00,22.5,22.0,22.0,347499
2025-07-03 18:30:00,22.5,22.0,22.1,1054821
2025-07-06 18:30:00,22.5,22.0,22.0,41588
2025-07-07 18:30:00,22.6,22.0,22.4,109022
2025-07-08 18:30:00,22.6,22.0,22.5,45447
2025-07-10 18:30:00,22.8,22.1,22.6,452615
2025-07-13 18:30:00,23.1,22.5,23.1,465535
2025-07-14 18:30:00,23.3,22.9,22.9,475783
2025-07-15 18:30:00,23.2,23.1,23.1,449489
2025-07-16 18:30:00,23.2,23.0,23.0,76388
2025-07-18 04:15:51,23.2,22.6,23.0,144534
2025-07-20 18:30:00,23.4,22.8,23.0,674396
2025-07-21 18:30:00,23.3,22.9,23.1,97225
2025-07-22 18:30:00,24.0,23.3,23.8,828341
2025-07-23 18:30:00,24.8,23.8,24.5,693809
2025-07-24 18:30:00,24.8,24.3,24.4,213703
2025-07-27 18:30:00,24.5,23.9,23.9,240981
2025-07-28 18:30:00,24.2,23.8,24.0,52989
2025-07-29 18:30:00,24.2,23.7,24.0,9541
2025-07-30 18:30:00,24.2,23.5,23.9,248127
2025-07-31 18:30:00,24.3,23.8,24.2,78859
2025-08-03 18:30:00,24.5,23.8,24.3,101452
2025-08-04 18:30:00,24.4,24.0,24.1,12517
2025-08-05 18:30:00,24.3,24.0,24.0,73873
2025-08-06 18:30:00,25.0,24.1,24.4,159578
2025-08-10 18:30:00,25.0,24.5,24.8,305209
2025-08-11 18:30:00,24.9,24.5,24.8,66771
2025-08-12 18:30:00,25.0,24.6,24.7,39757
2025-08-13 18:30:00,24.8,24.6,24.6,34926
2025-08-14 18:30:00,25.2,24.7,24.9,288850
2025-08-17 18:30:00,25.8,25.0,25.5,1128006
2025-08-18 18:30:00,27.0,25.3,26.4,883467
2025-08-19 18:30:00,29.5,27.0,29.0,5715428
2025-08-20 18:30:00,29.3,27.6,28.2,1295084
2025-08-21 18:30:00,29.0,28.2,28.4,925789
2025-08-24 18:30:00,28.7,27.6,27.8,249971
2025-08-25 18:30:00,28.0,27.5,27.8,137612
2025-08-26 18:30:00,27.9,27.5,27.6,237896
2025-08-27 18:30:00,27.9,27.4,27.4,64243
2025-08-28 18:30:00,27.9,27.1,27.4,153033
2025-08-31 18:30:00,27.5,27.1,27.2,115372
2025-09-01 18:30:00,27.5,27.2,27.3,79837
2025-09-02 18:30:00,27.5,26.9,26.9,270557
2025-09-03 18:30:00,27.2,26.6,26.9,85451
2025-09-07 18:30:00,27.2,26.6,26.7,223281
2025-09-08 18:30:00,26.8,26.0,26.1,337861
2025-09-09 18:30:00,26.9,25.5,26.6,152752
2025-09-10 18:30:00,26.8,26.0,26.3,89042
2025-09-11 18:30:00,26.6,26.0,26.5,66118
2025-09-14 18:30:00,26.6,25.6,25.9,111085
2025-09-15 18:30:00,26.1,25.7,26.0,104441
2025-09-16 18:30:00,26.2,25.9,26.0,52327
2025-09-17 18:30:00,26.5,26.0,26.0,130139
2025-09-18 18:30:00,26.5,25.7,25.9,454135
2025-09-21 18:30:00,29.0,27.1,28.0,2251654
2025-09-22 18:30:00,28.3,27.9,28.0,172093
2025-09-23 18:30:00,28.1,27.8,27.8,281644
2025-09-24 18:30:00,28.1,27.9,27.9,170287
2025-09-25 18:30:00,28.2,27.9,28.1,629168
2025-09-28 18:30:00,28.3,28.1,28.2,346999
2025-09-29 18:30:00,27.5,26.6,27.4,370085
2025-09-30 18:30:00,27.5,27.0,27.4,270972
2025-10-01 18:30:00,27.9,26.6,27.4,215403
2025-10-02 18:30:00,29.5,27.5,29.0,790813
2025-10-06 18:30:00,29.5,28.9,29.3,1151151
2025-10-07 18:30:00,29.2,28.5,29.0,247043
2025-10-08 18:30:00,29.1,28.7,28.9,438221
2025-10-09 18:30:00,29.0,28.4,28.5,162802
2025-10-12 18:30:00,28.6,27.1,28.3,219673
2025-10-13 18:30:00,29.1,28.4,28.9,443164
2025-10-14 18:30:00,29.1,28.8,29.0,453300
2025-10-15 18:30:00,29.0,28.8,28.9,373378
2025-10-16 18:30:00,29.1,28.8,29.0,1113968
2025-10-20 18:30:00,29.1,28.8,29.0,422809
2025-10-21 18:30:00,29.4,28.9,29.1,2744100
2025-10-22 18:30:00,29.3,28.9,29.1,1513907
2025-10-23 18:30:00,29.3,28.9,29.0,485922
2025-10-26 18:30:00,29.2,28.8,28.9,137365
2025-10-27 18:30:00,29.0,28.4,28.4,85818
2025-10-28 18:30:00,29.0,28.2,28.7,66564
2025-10-29 18:30:00,29.2,28.5,28.9,623026
2025-10-30 18:30:00,29.0,28.5,28.8,62642
2025-11-02 18:30:00,28.9,28.5,28.7,53487
2025-11-03 18:30:00,28.8,28.4,28.4,119963
2025-11-05 18:30:00,28.7,28.0,28.5,275318
2025-11-06 18:30:00,28.5,28.2,28.5,61543
2025-11-09 18:30:00,28.5,28.3,28.5,295841
2025-11-10 18:30:00,28.5,28.4,28.5,554119
2025-11-11 18:30:00,28.7,28.4,28.4,47807
2025-11-12 18:30:00,29.8,28.7,29.0,3959513
2025-11-13 18:30:00,30.0,28.8,29.7,2857670
2025-11-16 18:30:00,32.7,30.0,32.4,5391109
2025-11-17 18:30:00,33.2,31.6,32.0,1455520
2025-11-18 18:30:00,32.5,31.2,31.7,749850
2025-11-19 18:30:00,32.0,30.7,31.3,498746
2025-11-20 18:30:00,32.3,30.7,31.7,786888
2025-11-23 18:30:00,31.7,30.3,30.5,745193
2025-11-24 18:30:00,31.3,30.5,30.9,237776
2025-11-25 18:30:00,31.2,30.5,30.6,81924
2025-11-26 18:30:00,31.0,30.2,30.3,204635
2025-11-27 18:30:00,31.1,30.1,30.8,100664
2025-11-30 18:30:00,30.8,29.0,29.5,600623
2025-12-01 18:30:00,30.5,29.2,29.6,515347
2025-12-02 18:30:00,29.8,28.0,28.2,689253
2025-12-04 18:30:00,28.7,27.1,27.4,276493
2025-12-07 18:30:00,28.5,27.6,28.0,132377
2025-12-08 18:30:00,29.8,28.0,29.1,210373
2025-12-09 18:30:00,30.5,29.8,29.9,141817
2025-12-10 18:30:00,30.5,29.4,29.6,832616
2025-12-11 18:30:00,30.5,29.5,29.7,20124
2025-12-14 18:30:00,30.5,29.3,29.4,29655
2025-12-15 18:30:00,30.0,29.0,29.6,108006
2025-12-16 18:30:00,29.7,29.1,29.2,31025
2025-12-17 18:30:00,29.8,29.0,29.7,93684
2025-12-18 18:30:00,29.8,29.0,29.3,41039
2025-12-21 18:30:00,29.8,,29.1,40183
2025-12-22 18:30:00,29.6,28.8,29.0,127571
2025-12-23 18:30:00,29.5,29.0,29.4,120537
2025-12-25 18:30:00,29.8,29.4,29.5,39281
2025-12-28 18:30:00,30.0,29.0,29.3,69598
2025-12-29 18:30:00,29.8,28.0,29.1,139498
2025-12-30 18:30:00,30.2,29.4,30.0,269536
2026-01-01 18:30:00,30.1,29.7,29.9,113918
2026-01-04 18:30:00,30.2,29.4,30.0,411699
2026-01-05 18:30:00,30.6,29.2,30.5,331024
2026-01-07 18:30:00,32.0,30.7,31.0,579022
2026-01-08 18:30:00,31.8,30.7,30.9,91060
