date,high,low,close,volume
2025-01-14 18:30:00,52.5,51.2,52.0,487962
2025-01-15 18:30:00,53.8,52.0,53.0,623563
2025-01-16 18:30:00,56.0,53.0,55.6,3942545
2025-01-19 18:30:00,56.9,55.8,56.3,2118386
2025-01-20 18:30:00,57.2,56.1,57.0,2270340
2025-01-21 18:30:00,58.5,56.9,58.1,2821447
2025-01-22 18:30:00,61.5,58.0,60.0,6971142
2025-01-23 18:30:00,61.0,59.4,60.1,3697754
2025-01-26 18:30:00,60.7,58.8,60.0,868147
2025-01-27 18:30:00,61.7,59.2,61.1,1720269
2025-01-28 18:30:00,63.0,61.4,62.2,2488902
2025-01-29 18:30:00,62.9,60.8,61.2,1049883
2025-01-30 18:30:00,61.6,59.7,59.9,1405855
2025-02-02 18:30:00,60.4,59.0,59.0,618583
2025-02-04 18:30:00,58.9,55.0,55.6,1804476
2025-02-05 18:30:00,58.3,54.0,57.8,1390794
2025-02-06 18:30:00,59.0,58.0,58.8,1154063
2025-02-09 18:30:00,59.2,57.5,57.6,673240
2025-02-10 18:30:00,58.0,55.7,56.1,565206
2025-02-12 18:30:00,56.7,55.5,56.5,666631
2025-02-13 18:30:00,59.0,56.5,58.6,696807
2025-02-16 18:30:00,62.5,58.9,62.1,2198552
2025-02-17 18:30:00,62.1,60.0,60.9,889474
2025-02-18 18:30:00,61.7,59.5,60.5,1468470
2025-02-20 04:00:07,60.5,59.4,59.8,2104486
2025-02-20 18:30:00,60.5,59.6,59.9,436374
2025-02-23 18:30:00,59.7,57.0,58.0,351376
2025-02-24 18:30:00,58.0,55.8,57.1,527357
2025-02-26 18:30:00,58.9,55.6,58.0,252106
2025-02-27 18:30:00,59.0,57.5,58.0,117891
2025-03-02 18:30:00,58.0,55.5,55.7,189788
2025-03-03 18:30:00,56.5,54.1,54.5,969942
2025-03-04 18:30:00,57.5,54.6,57.0,777855
2025-03-05 18:30:00,58.3,55.9,56.4,205579
2025-03-06 18:30:00,56.5,55.9,56.3,101722
2025-03-09 18:30:00,56.1,55.2,55.6,98907
2025-03-10 18:30:00,55.5,53.8,54.0,536401
2025-03-11 18:30:00,55.9,53.4,55.7,586454
