date,high,low,close,volume
2025-01-14 18:30:00,24.1,23.9,24.0,18868033
2025-01-15 18:30:00,24.0,23.9,23.9,20450609
2025-01-16 18:30:00,24.1,23.8,24.0,20822574
2025-01-19 18:30:00,24.0,23.8,23.9,4771421
2025-01-20 18:30:00,23.9,23.6,23.7,10608273
2025-01-21 18:30:00,24.1,23.7,24.0,24585666
2025-01-22 18:30:00,24.1,23.9,23.9,12744033
2025-01-23 18:30:00,23.9,23.4,23.5,18756458
2025-01-26 18:30:00,23.6,22.8,23.1,38084982
2025-01-27 18:30:00,23.1,22.8,22.9,29630667
2025-01-28 18:30:00,23.0,22.5,22.6,55594371
2025-01-29 18:30:00,22.9,22.6,22.7,132505507
2025-01-30 18:30:00,23.0,22.7,22.7,7908822
2025-02-02 18:30:00,22.7,22.5,22.6,15043942
2025-02-04 18:30:00,22.6,21.9,22.0,23174251
2025-02-05 18:30:00,22.4,22.0,22.2,4511388
2025-02-06 18:30:00,22.8,22.2,22.8,8151403
2025-02-09 18:30:00,22.9,22.4,22.5,2266035
2025-02-10 18:30:00,22.6,22.3,22.4,3014623
2025-02-12 18:30:00,22.6,22.2,22.5,9688736
2025-02-13 18:30:00,23.0,22.4,22.9,6576175
2025-02-16 18:30:00,22.9,22.6,22.8,4342462
2025-02-17 18:30:00,22.8,22.2,22.3,11188830
2025-02-18 18:30:00,22.4,22.1,22.2,7130460
2025-02-20 04:00:07,22.4,22.1,22.2,29383126
2025-02-20 18:30:00,22.4,,22.4,8460923
2025-02-23 18:30:00,22.4,22.2,22.2,4348410
2025-02-24 18:30:00,22.3,21.9,21.9,7418677
2025-02-26 18:30:00,22.0,21.1,21.4,5243635
2025-02-27 18:30:00,21.8,21.2,21.3,3520788
2025-03-02 18:30:00,21.6,21.0,21.1,3411584
2025-03-03 18:30:00,21.2,20.9,20.9,7707791
2025-03-04 18:30:00,21.1,20.9,20.9,11689213
2025-03-05 18:30:00,21.1,20.9,21.0,35207535
2025-03-06 18:30:00,21.1,20.9,21.0,20609136
2025-03-09 18:30:00,21.0,20.8,20.9,900211
2025-03-10 18:30:00,20.9,20.5,20.5,2375440
2025-03-11 18:30:00,20.8,20.5,20.7,13007362
2025-03-13 18:30:00,20.8,20.6,20.7,705626
2025-03-16 18:30:00,20.9,20.3,20.5,3600836
2025-03-17 18:30:00,20.5,20.1,20.2,6676755
2025-03-18 18:30:00,20.2,20.0,20.1,7234898
2025-03-19 18:30:00,20.7,20.1,20.5,7919770
2025-03-20 18:30:00,20.6,20.4,20.5,12530425
2025-03-24 04:00:05,20.6,20.3,20.4,2418056
2025-03-24 18:30:00,20.5,20.2,20.3,13428551
2025-03-25 18:30:00,20.4,20.1,20.1,4660659
2025-03-26 18:30:00,20.3,19.9,20.2,6637644
2025-03-27 18:30:00,20.5,20.1,20.2,9494513
2025-03-31 18:30:00,20.4,,20.3,3388976
2025-04-01 18:30:00,20.5,20.1,20.2,16436000
2025-04-02 18:30:00,20.2,19.9,20.0,31005753
2025-04-03 18:30:00,20.0,19.5,19.6,15387544
2025-04-06 18:30:00,19.5,18.3,18.7,49316365
2025-04-07 18:30:00,19.8,18.8,19.7,13004556
2025-04-08 18:30:00,19.7,19.1,19.2,45569724
2025-04-09 18:30:00,20.5,19.5,20.1,48065433
2025-04-10 18:30:00,20.1,19.9,20.0,2124511
2025-04-15 18:30:00,20.2,20.0,20.0,1298763
2025-04-16 18:30:00,20.3,19.9,20.0,1421364
2025-04-20 18:30:00,20.3,19.9,19.9,2007506
2025-04-21 18:30:00,20.0,19.6,19.7,7994259
2025-04-22 18:30:00,20.0,19.6,19.9,3868878
2025-04-23 18:30:00,20.1,19.9,20.0,3001104
2025-04-24 18:30:00,20.2,19.9,20.1,14174992
2025-04-27 18:30:00,20.7,20.1,20.5,11754150
2025-04-28 18:30:00,20.9,20.6,20.8,2642815
2025-04-29 18:30:00,20.9,20.7,20.7,8309777
2025-05-01 18:30:00,20.8,20.2,20.3,5297924
2025-05-04 18:30:00,20.8,20.4,20.6,13686127
2025-05-05 18:30:00,20.8,20.6,20.6,513725
2025-05-06 18:30:00,20.6,20.1,20.1,8647345
2025-05-07 18:30:00,20.3,20.1,20.2,5229235
2025-05-08 18:30:00,20.4,20.1,20.2,2302452
2025-05-13 18:30:00,20.6,20.2,20.4,28588952
2025-05-14 18:30:00,20.7,20.3,20.6,23025368
2025-05-15 18:30:00,21.2,20.6,21.0,15484655
2025-05-18 18:30:00,21.5,21.1,21.2,5323828
2025-05-19 18:30:00,21.4,21.0,21.1,5412423
2025-05-20 18:30:00,21.3,21.1,21.2,10842137
2025-05-21 18:30:00,21.9,21.3,21.5,21736487
2025-05-22 18:30:00,21.5,21.1,21.4,5041405
2025-05-25 18:30:00,21.5,21.0,21.1,2899314
2025-05-26 18:30:00,21.6,21.1,21.2,5790651
2025-05-27 18:30:00,21.2,20.7,20.8,7945949
2025-05-28 18:30:00,21.2,20.8,21.1,6681105
2025-05-29 18:30:00,21.1,20.8,20.9,10536172
2025-06-01 18:30:00,21.2,20.9,21.1,10605217
2025-06-02 18:30:00,21.5,21.1,21.2,7432303
2025-06-03 18:30:00,21.5,21.3,21.4,7962613
2025-06-04 18:30:00,21.8,21.4,21.8,10478135
2025-06-05 18:30:00,22.0,21.7,21.9,9880375
2025-06-08 18:30:00,22.0,21.7,21.9,2814562
2025-06-10 18:30:00,22.5,21.9,22.5,7835679
2025-06-11 18:30:00,22.6,22.3,22.3,5148870
2025-06-12 18:30:00,22.3,21.6,22.0,8083167
2025-06-15 18:30:00,22.1,21.1,21.9,8547070
