date,high,low,close,volume
2025-01-14 18:30:00,48.2,46.5,47.4,1043460
2025-01-15 18:30:00,48.0,46.5,47.0,747634
2025-01-16 18:30:00,47.5,46.3,47.0,645248
2025-01-19 18:30:00,48.4,47.0,48.0,1691108
2025-01-20 18:30:00,49.2,48.0,48.2,904187
2025-01-21 18:30:00,50.4,48.0,49.9,3504862
2025-01-22 18:30:00,50.2,48.8,49.3,562953
2025-01-23 18:30:00,49.8,48.0,49.0,1273222
2025-01-26 18:30:00,49.2,48.1,48.7,360338
2025-01-27 18:30:00,49.0,47.8,48.4,515782
2025-01-28 18:30:00,48.5,47.0,47.4,595162
2025-01-29 18:30:00,48.5,47.5,48.4,811452
2025-01-30 18:30:00,48.5,47.6,47.9,1139898
2025-02-02 18:30:00,47.6,46.6,46.9,634391
2025-02-04 18:30:00,47.0,44.2,44.7,1259242
2025-02-05 18:30:00,47.0,45.0,46.4,579140
2025-02-06 18:30:00,47.0,46.1,46.7,70741
2025-02-09 18:30:00,47.0,45.9,46.0,336707
2025-02-10 18:30:00,46.1,44.0,44.6,343286
2025-02-12 18:30:00,46.0,44.0,45.0,525677
2025-02-13 18:30:00,47.5,45.0,47.1,701055
2025-02-16 18:30:00,49.4,47.2,48.5,1230172
2025-02-17 18:30:00,49.3,46.7,47.2,493360
2025-02-18 18:30:00,47.9,46.4,46.5,96930
2025-02-20 04:00:07,46.9,45.1,45.8,391969
2025-02-20 18:30:00,46.4,45.5,45.6,215853
2025-02-23 18:30:00,45.9,44.2,45.1,145032
2025-02-24 18:30:00,45.0,43.5,43.8,458041
2025-02-26 18:30:00,44.8,44.0,44.5,227633
2025-02-27 18:30:00,45.9,44.6,45.1,196829
2025-03-02 18:30:00,45.7,43.7,43.9,152339
2025-03-03 18:30:00,44.0,42.1,43.0,970084
2025-03-04 18:30:00,44.4,42.6,43.9,53081
2025-03-05 18:30:00,46.8,43.7,44.5,311758
2025-03-06 18:30:00,45.0,44.0,44.1,66180
2025-03-09 18:30:00,45.5,43.4,43.9,121133
2025-03-10 18:30:00,43.3,42.0,42.1,387799
2025-03-11 18:30:00,43.5,42.0,43.4,296871
2025-03-13 18:30:00,43.9,42.5,42.7,50113
2025-03-16 18:30:00,42.4,41.5,41.5,232719
2025-03-17 18:30:00,42.0,41.5,41.5,236576
2025-03-18 18:30:00,43.1,41.0,41.6,331474
2025-03-19 18:30:00,43.5,42.0,43.2,80850
2025-03-20 18:30:00,44.3,43.8,43.9,99924
2025-03-24 04:00:05,44.2,42.8,42.9,92826
2025-03-24 18:30:00,43.5,42.6,43.1,118679
2025-03-25 18:30:00,43.4,42.0,42.2,151186
2025-03-26 18:30:00,43.0,42.0,42.7,63368
2025-03-27 18:30:00,43.5,42.2,43.4,219588
2025-03-31 18:30:00,44.3,43.1,44.2,289208
2025-04-01 18:30:00,45.0,43.5,43.9,154080
2025-04-02 18:30:00,43.9,43.0,43.5,71840
2025-04-03 18:30:00,43.5,41.9,42.5,633064
2025-04-06 18:30:00,42.3,38.0,39.9,1107622
2025-04-07 18:30:00,42.5,40.6,42.0,697664
2025-04-08 18:30:00,42.1,40.5,41.0,595318
2025-04-09 18:30:00,44.5,42.5,43.0,997426
2025-04-10 18:30:00,43.0,42.5,42.7,42848
2025-04-15 18:30:00,43.5,42.4,43.2,281749
2025-04-16 18:30:00,46.2,43.5,45.6,1305813
2025-04-20 18:30:00,46.5,44.8,44.9,374320
2025-04-21 18:30:00,45.5,44.7,44.8,46891
2025-04-22 18:30:00,45.4,44.7,45.0,732992
2025-04-23 18:30:00,45.1,44.5,45.0,300956
2025-04-24 18:30:00,46.9,45.0,46.6,970261
2025-04-27 18:30:00,47.2,46.5,46.7,664195
2025-04-28 18:30:00,47.6,46.8,47.5,1307466
2025-04-29 18:30:00,47.5,46.7,47.2,362123
2025-05-01 18:30:00,47.5,46.6,46.8,105906
2025-05-04 18:30:00,47.3,46.7,46.9,105447
2025-05-05 18:30:00,47.9,46.6,47.3,246465
2025-05-06 18:30:00,47.3,46.2,46.4,287815
2025-05-07 18:30:00,47.5,46.2,47.1,430255
2025-05-08 18:30:00,47.3,46.5,46.7,60737
2025-05-13 18:30:00,47.8,46.5,47.4,511292
2025-05-14 18:30:00,48.0,47.0,47.1,562000
2025-05-15 18:30:00,47.7,46.5,46.8,268544
2025-05-18 18:30:00,47.5,46.0,46.0,219086
2025-05-19 18:30:00,47.5,46.0,46.1,79390
2025-05-20 18:30:00,47.5,46.5,46.8,248498
2025-05-21 18:30:00,48.5,46.8,48.2,1431550
2025-05-22 18:30:00,50.0,48.5,49.0,1366542
2025-05-25 18:30:00,51.1,49.0,50.2,3471367
