date,high,low,close,volume
2025-01-14 18:30:00,13.6,13.0,13.2,1430209
2025-01-15 18:30:00,13.6,13.1,13.4,555370
2025-01-16 18:30:00,14.1,13.5,13.6,1365255
2025-01-19 18:30:00,15.0,13.9,14.9,39122639
2025-01-20 18:30:00,15.7,14.9,15.2,5357669
2025-01-21 18:30:00,15.7,15.3,15.4,3757687
2025-01-22 18:30:00,16.1,15.1,15.8,6790761
2025-01-23 18:30:00,16.5,15.8,16.2,24958169
2025-01-26 18:30:00,16.7,16.1,16.3,2838781
2025-01-27 18:30:00,16.7,16.1,16.6,4055624
2025-01-28 18:30:00,16.8,16.4,16.6,3023992
2025-01-29 18:30:00,17.5,16.6,17.3,11194953
2025-01-30 18:30:00,17.4,16.9,17.0,3202226
2025-02-02 18:30:00,17.1,16.4,16.5,886749
2025-02-04 18:30:00,16.5,15.7,15.8,6462557
2025-02-05 18:30:00,16.4,15.6,16.2,4870611
2025-02-06 18:30:00,16.6,16.2,16.5,3272019
2025-02-09 18:30:00,16.5,16.1,16.2,1899220
2025-02-10 18:30:00,16.4,15.6,15.8,1717244
2025-02-12 18:30:00,16.9,16.2,16.8,7051667
2025-02-13 18:30:00,17.4,16.7,17.1,8373056
2025-02-16 18:30:00,17.9,17.0,17.8,8464932
2025-02-17 18:30:00,18.4,17.9,18.2,32675662
2025-02-18 18:30:00,18.6,18.0,18.0,5289725
2025-02-20 04:00:07,18.3,17.7,18.2,1269630
2025-02-20 18:30:00,18.3,17.6,17.7,2153046
2025-02-23 18:30:00,17.8,17.3,17.5,670566
2025-02-24 18:30:00,17.6,17.1,17.3,1628673
2025-02-26 18:30:00,17.9,17.3,17.7,2533687
2025-02-27 18:30:00,18.0,17.5,17.5,1853527
2025-03-02 18:30:00,17.5,16.7,16.8,1373935
2025-03-03 18:30:00,17.2,16.3,16.6,999747
2025-03-04 18:30:00,17.3,16.4,17.1,1846527
2025-03-05 18:30:00,17.4,16.7,16.8,579515
2025-03-06 18:30:00,17.0,16.6,16.8,535246
2025-03-09 18:30:00,17.0,16.5,16.5,701075
2025-03-10 18:30:00,16.9,15.8,16.0,1114208
2025-03-11 18:30:00,16.9,15.9,16.7,3616279
2025-03-13 18:30:00,17.0,16.2,16.3,865524
2025-03-16 18:30:00,16.8,15.9,16.0,1116951
2025-03-17 18:30:00,16.2,15.4,15.6,1106015
2025-03-18 18:30:00,16.2,15.3,15.5,1209167
2025-03-19 18:30:00,16.2,12.3,15.5,145651118
2025-03-20 18:30:00,16.1,15.6,16.0,433325
2025-03-24 04:00:05,16.3,15.9,15.9,341808
2025-03-24 18:30:00,16.2,15.6,15.9,1302503
2025-03-25 18:30:00,16.0,15.7,15.9,32262
2025-03-26 18:30:00,15.9,15.7,15.8,127626
2025-03-27 18:30:00,15.9,15.6,15.7,618923
2025-03-31 18:30:00,16.0,15.6,16.0,592532
2025-04-01 18:30:00,16.3,15.9,16.2,408928
2025-04-02 18:30:00,16.1,15.7,15.8,690131
2025-04-03 18:30:00,16.1,15.0,15.5,377993
2025-04-06 18:30:00,15.2,13.7,14.3,1896712
2025-04-07 18:30:00,15.6,14.3,15.4,1002200
2025-04-08 18:30:00,15.7,14.8,14.8,1079005
2025-04-09 18:30:00,16.0,15.5,15.7,1377072
2025-04-10 18:30:00,15.9,15.5,15.7,286272
2025-04-15 18:30:00,16.1,15.7,15.9,327639
2025-04-16 18:30:00,16.1,15.8,16.0,1144342
2025-04-20 18:30:00,16.3,15.9,16.2,846474
2025-04-21 18:30:00,16.3,16.0,16.2,94887
2025-04-22 18:30:00,16.7,16.1,16.5,638560
2025-04-23 18:30:00,17.1,16.4,16.8,3316415
2025-04-24 18:30:00,17.3,16.9,17.0,1704771
2025-04-27 18:30:00,17.2,16.7,16.8,333018
2025-04-28 18:30:00,17.1,16.8,17.0,654565
2025-04-29 18:30:00,17.1,16.7,17.0,812439
2025-05-01 18:30:00,17.0,16.8,17.0,616124
2025-05-04 18:30:00,17.4,16.8,17.3,970632
2025-05-05 18:30:00,17.7,17.3,17.5,855257
2025-05-06 18:30:00,17.6,17.1,17.4,668303
2025-05-07 18:30:00,17.5,17.4,17.5,594158
2025-05-08 18:30:00,17.6,17.3,17.4,537505
2025-05-13 18:30:00,17.7,17.2,17.6,1317872
2025-05-14 18:30:00,17.9,17.5,17.6,1788728
2025-05-15 18:30:00,17.7,17.5,17.6,1150587
2025-05-18 18:30:00,17.7,17.3,17.3,481093
2025-05-19 18:30:00,17.4,17.1,17.2,163809
2025-05-20 18:30:00,17.2,16.8,17.2,1700719
2025-05-21 18:30:00,17.2,16.8,16.9,324243
2025-05-22 18:30:00,17.2,16.8,16.9,400699
2025-05-25 18:30:00,17.5,16.8,17.0,1526507
