date,high,low,close,volume
2025-01-14 18:30:00,73.5,71.0,73.4,325820
2025-01-15 18:30:00,78.0,73.5,77.9,508608
2025-01-16 18:30:00,79.0,77.1,78.0,347821
2025-01-19 18:30:00,79.8,78.0,79.7,83501
2025-01-20 18:30:00,79.9,78.8,78.9,191410
2025-01-21 18:30:00,78.6,76.0,77.0,108880
2025-01-22 18:30:00,79.6,77.0,79.2,482757
2025-01-23 18:30:00,79.5,78.0,78.1,420208
2025-01-26 18:30:00,79.7,78.1,79.0,88817
2025-01-27 18:30:00,79.6,78.8,79.0,301223
2025-01-28 18:30:00,80.5,78.8,79.8,154494
2025-01-29 18:30:00,80.3,78.5,79.0,199676
2025-01-30 18:30:00,80.0,77.6,79.8,122514
2025-02-02 18:30:00,80.0,76.4,76.6,178053
2025-02-04 18:30:00,77.6,71.1,75.0,177307
2025-02-05 18:30:00,76.0,70.0,75.0,217242
2025-02-06 18:30:00,77.2,75.0,76.9,139038
2025-02-09 18:30:00,78.0,77.0,77.6,203769
2025-02-10 18:30:00,77.6,73.5,74.5,293547
2025-02-12 18:30:00,77.9,74.1,77.9,134930
2025-02-13 18:30:00,80.5,78.0,80.1,571428
2025-02-16 18:30:00,81.8,80.0,81.8,111542
2025-02-17 18:30:00,82.5,80.0,80.1,121856
2025-02-18 18:30:00,81.5,78.0,81.0,129585
2025-02-20 04:24:44,81.2,79.2,80.7,50230
2025-02-20 18:30:00,82.0,79.5,81.5,334676
2025-02-23 18:30:00,81.5,79.0,80.1,218162
2025-02-24 18:30:00,80.1,77.5,78.1,119508
2025-02-26 18:30:00,80.7,77.1,79.2,187397
2025-02-27 18:30:00,80.0,79.0,79.1,81509
2025-03-02 18:30:00,79.0,77.1,77.7,95146
2025-03-03 18:30:00,80.0,76.3,77.0,155500
2025-03-04 18:30:00,80.6,78.0,79.6,16630
2025-03-05 18:30:00,80.0,78.1,79.1,134558
2025-03-06 18:30:00,80.5,79.5,79.5,236534
2025-03-09 18:30:00,79.0,78.0,78.0,5560
2025-03-10 18:30:00,78.2,77.0,77.1,55268
2025-03-11 18:30:00,78.2,70.0,77.0,70333
2025-03-13 18:30:00,78.2,77.3,78.1,31180
2025-03-16 18:30:00,78.1,77.0,77.5,148454
2025-03-17 18:30:00,78.0,75.8,75.9,22326
2025-03-18 18:30:00,77.5,75.5,75.5,152389
2025-03-19 18:30:00,78.0,75.5,76.0,75003
2025-03-20 18:30:00,77.9,76.0,77.5,13374
2025-03-24 04:00:05,79.0,78.0,78.1,33318
2025-03-24 18:30:00,80.2,78.9,79.0,36722
2025-03-25 18:30:00,79.2,79.1,79.1,5381
2025-03-26 18:30:00,79.2,78.7,78.8,518
2025-03-27 18:30:00,79.5,77.4,79.0,18530
2025-03-31 18:30:00,79.5,76.6,78.4,10849
2025-04-01 18:30:00,79.9,78.5,79.0,255529
2025-04-02 18:30:00,79.0,75.5,77.0,46642
2025-04-03 18:30:00,76.0,72.0,73.0,523114
2025-04-06 18:30:00,74.0,68.0,68.3,348571
2025-04-07 18:30:00,74.0,68.2,70.9,7877
2025-04-08 18:30:00,71.5,69.0,71.0,22127
2025-04-09 18:30:00,76.0,73.5,74.8,325448
2025-04-10 18:30:00,76.0,72.6,74.0,94822
2025-04-15 18:30:00,75.0,73.4,74.6,212
2025-04-16 18:30:00,78.0,74.8,77.5,51504
2025-04-20 18:30:00,78.0,76.0,76.5,18621
2025-04-21 18:30:00,76.0,74.0,74.4,3761
2025-04-22 18:30:00,74.4,73.9,74.0,10975
2025-04-23 18:30:00,76.0,73.0,75.0,19570
2025-04-24 18:30:00,76.5,73.5,76.5,9228
2025-04-27 18:30:00,76.5,75.0,75.1,32517
2025-04-28 18:30:00,76.0,75.1,75.9,5180
2025-04-29 18:30:00,75.9,75.0,75.3,30160
2025-05-01 18:30:00,75.9,73.1,75.0,10268
2025-05-04 18:30:00,76.0,74.5,76.0,190131
2025-05-05 18:30:00,78.0,77.9,77.9,5079
2025-05-06 18:30:00,77.7,76.1,76.7,5392
2025-05-07 18:30:00,76.5,75.6,76.0,241277
2025-05-08 18:30:00,78.0,75.5,76.5,35455
2025-05-13 18:30:00,78.2,76.0,78.2,85008
2025-05-14 18:30:00,78.3,78.0,78.2,28889
2025-05-15 18:30:00,78.3,72.5,76.2,6621
2025-05-18 18:30:00,78.4,73.2,76.0,25432
2025-05-19 18:30:00,77.5,75.9,75.9,503794
2025-05-20 18:30:00,75.7,73.7,74.5,3394
2025-05-21 18:30:00,74.4,71.2,71.9,82260
2025-05-22 18:30:00,72.7,70.1,70.4,71882
2025-05-25 18:30:00,72.0,69.4,69.5,65007
2025-05-26 18:30:00,70.1,69.0,69.1,561598
2025-05-27 18:30:00,72.0,69.5,70.7,88227
2025-05-28 18:30:00,72.0,70.8,71.4,103559
2025-05-29 18:30:00,72.0,70.5,71.0,302577
2025-06-01 18:30:00,74.0,72.0,74.0,169381
2025-06-02 18:30:00,75.3,73.8,75.0,2094228
2025-06-03 18:30:00,76.4,75.3,76.4,736670
2025-06-04 18:30:00,77.0,76.0,76.4,185268
2025-06-05 18:30:00,77.0,75.8,75.9,264366
2025-06-08 18:30:00,77.4,76.3,76.5,234064
2025-06-10 18:30:00,77.9,76.5,77.9,1132449
2025-06-11 18:30:00,77.9,77.1,77.4,31797
2025-06-12 18:30:00,77.0,76.2,76.6,100853
2025-06-15 18:30:00,76.3,74.0,76.0,70991
2025-06-16 18:30:00,77.2,74.0,74.3,230318
2025-06-17 18:30:00,75.0,72.0,73.8,20515
2025-06-18 18:30:00,73.9,72.0,73.4,123439
2025-06-19 18:30:00,73.9,72.0,73.6,20133
2025-06-22 18:30:00,73.6,71.5,72.8,13257
2025-06-23 18:30:00,74.0,72.8,73.0,207275
2025-06-24 18:30:00,75.4,72.0,74.8,157089
2025-06-25 18:30:00,75.5,74.0,74.9,58439
2025-06-26 18:30:00,76.0,74.5,75.0,1291194
2025-06-29 18:30:00,77.0,75.0,76.9,63736
2025-06-30 18:30:00,77.4,76.6,76.6,20064
2025-07-01 18:30:00,77.0,76.2,76.7,264245
2025-07-02 18:30:00,77.5,76.6,77.1,425396
2025-07-03 18:30:00,77.5,76.2,77.2,100087
2025-07-06 18:30:00,79.0,77.2,77.9,165246
2025-07-07 18:30:00,78.2,76.3,77.9,110921
2025-07-08 18:30:00,83.0,78.2,82.7,1379671
2025-07-10 18:30:00,85.0,82.9,84.2,543936
2025-07-13 18:30:00,89.9,85.0,87.6,419179
2025-07-14 18:30:00,88.5,84.0,86.1,347853
2025-07-15 18:30:00,87.8,84.7,85.0,118870
2025-07-16 18:30:00,85.8,83.3,84.0,114470
2025-07-18 04:00:07,87.0,84.9,85.1,175727
2025-07-20 18:30:00,87.1,84.3,84.7,64144
2025-07-21 18:30:00,85.5,83.8,84.0,89080
2025-07-22 18:30:00,86.5,83.4,83.9,402767
2025-07-23 18:30:00,86.5,83.7,85.6,88275
2025-07-24 18:30:00,86.2,84.0,84.1,112907
