date,high,low,close,volume
2025-01-14 18:30:00,143.0,138.5,142.75,133369
2025-01-15 18:30:00,145.0,141.25,144.0,132462
2025-01-16 18:30:00,145.25,143.0,145.0,117715
2025-01-19 18:30:00,150.0,144.75,149.5,213870
2025-01-20 18:30:00,150.0,146.5,148.75,83403
2025-01-21 18:30:00,148.0,145.75,146.0,97932
2025-01-22 18:30:00,148.0,145.0,146.0,71963
2025-01-23 18:30:00,149.0,145.0,148.25,45856
2025-01-26 18:30:00,151.25,148.0,150.25,249558
2025-01-27 18:30:00,153.5,149.0,152.75,38908
2025-01-28 18:30:00,160.0,152.0,156.75,312607
2025-01-29 18:30:00,160.0,153.75,155.75,137344
2025-01-30 18:30:00,157.75,153.25,154.25,146970
2025-02-02 18:30:00,156.5,152.0,154.0,69910
2025-02-04 18:30:00,154.0,148.0,149.0,193373
2025-02-05 18:30:00,149.0,140.0,146.0,232430
2025-02-06 18:30:00,145.75,135.5,139.5,221566
2025-02-09 18:30:00,143.0,139.75,140.0,161726
2025-02-10 18:30:00,140.0,132.0,136.0,152795
2025-02-12 18:30:00,139.5,133.5,138.25,201934
2025-02-13 18:30:00,142.0,137.0,140.5,113622
2025-02-16 18:30:00,145.0,142.0,144.25,76097
2025-02-17 18:30:00,144.0,142.0,142.75,47508
2025-02-18 18:30:00,143.0,140.0,140.0,36806
2025-02-20 04:09:22,141.75,138.0,139.0,35621
2025-03-02 18:30:00,28.7,26.5,26.9,589912
2025-03-03 18:30:00,26.9,25.0,25.3,716434
2025-03-04 18:30:00,28.1,25.7,27.8,1753924
2025-03-05 18:30:00,29.3,28.0,29.0,1571642
2025-03-06 18:30:00,30.0,28.6,29.8,2202494
2025-03-09 18:30:00,30.0,29.0,29.5,503053
2025-03-10 18:30:00,29.7,28.5,29.0,471671
2025-03-11 18:30:00,29.0,28.5,28.9,166391
2025-03-13 18:30:00,29.9,29.2,29.7,1391167
2025-03-16 18:30:00,29.7,29.2,29.2,472424
2025-03-17 18:30:00,29.5,28.2,28.4,835090
2025-03-18 18:30:00,28.4,28.0,28.1,635559
2025-03-19 18:30:00,28.6,28.2,28.4,591744
2025-03-20 18:30:00,28.9,28.5,28.6,1706142
2025-03-24 04:00:05,28.1,27.5,27.9,629676
2025-03-24 18:30:00,28.0,27.7,27.9,441499
2025-03-25 18:30:00,28.3,27.8,28.0,291295
2025-03-26 18:30:00,28.2,27.9,28.1,144871
2025-03-27 18:30:00,28.2,27.9,28.0,76888
2025-03-31 18:30:00,28.2,27.9,28.2,335560
2025-04-01 18:30:00,28.3,28.0,28.0,155296
2025-04-02 18:30:00,28.2,27.6,28.0,563339
2025-04-03 18:30:00,27.6,26.5,27.3,558938
2025-04-06 18:30:00,27.0,25.5,25.9,857993
2025-04-07 18:30:00,28.0,26.0,27.9,384176
2025-04-08 18:30:00,27.8,26.9,27.2,111283
2025-04-09 18:30:00,28.4,27.8,28.1,494227
2025-04-10 18:30:00,28.1,27.2,28.1,98222
2025-04-15 18:30:00,28.5,27.7,28.4,283525
2025-04-16 18:30:00,28.5,28.2,28.4,233977
2025-04-20 18:30:00,28.8,28.4,28.7,327932
2025-04-21 18:30:00,28.8,28.3,28.6,113184
2025-04-22 18:30:00,28.7,28.0,28.5,144712
2025-04-23 18:30:00,28.7,28.2,28.5,216753
2025-04-24 18:30:00,29.7,28.5,29.6,1452872
2025-04-27 18:30:00,29.9,29.5,29.8,607487
2025-04-28 18:30:00,30.3,29.7,29.8,1309935
2025-04-29 18:30:00,30.0,29.5,29.8,913064
2025-05-01 18:30:00,29.9,29.6,29.8,397694
2025-05-04 18:30:00,29.8,29.6,29.7,184599
2025-05-05 18:30:00,29.8,29.5,29.7,285401
2025-05-06 18:30:00,29.8,29.0,29.7,196585
2025-05-07 18:30:00,29.8,29.1,29.7,236717
2025-05-08 18:30:00,29.8,29.4,29.6,168094
2025-05-13 18:30:00,30.2,29.7,30.0,1830723
2025-05-14 18:30:00,30.2,30.0,30.1,344563
2025-05-15 18:30:00,30.7,30.0,30.5,2874150
2025-05-18 18:30:00,31.9,30.6,31.1,381973
2025-05-19 18:30:00,31.5,30.7,30.9,262702
2025-05-20 18:30:00,31.0,30.6,30.7,122517
2025-05-21 18:30:00,31.3,30.5,31.2,706211
2025-05-22 18:30:00,31.7,31.1,31.5,2039099
2025-05-25 18:30:00,31.9,31.6,31.9,1258082
2025-05-26 18:30:00,34.0,31.8,33.5,3471526
2025-05-27 18:30:00,34.6,33.1,34.3,3462193
2025-05-28 18:30:00,34.7,33.8,33.9,1821595
2025-05-29 18:30:00,34.0,32.8,33.0,965518
2025-06-01 18:30:00,33.0,32.0,32.7,1021454
2025-06-02 18:30:00,33.6,32.7,33.3,455701
2025-06-03 18:30:00,33.8,33.0,33.2,261069
2025-06-04 18:30:00,33.9,33.1,33.5,435908
2025-06-05 18:30:00,33.7,33.0,33.0,276901
2025-06-08 18:30:00,33.5,33.1,33.3,169659
2025-06-10 18:30:00,33.9,33.0,33.2,191467
2025-06-11 18:30:00,33.6,32.6,33.2,360901
2025-06-12 18:30:00,33.0,32.3,32.8,452637
2025-06-15 18:30:00,32.6,31.9,32.3,568906
2025-06-16 18:30:00,33.3,32.3,32.5,484694
2025-06-17 18:30:00,33.0,32.0,32.1,336677
2025-06-18 18:30:00,32.3,30.9,31.2,606270
2025-06-19 18:30:00,32.0,30.9,31.8,212337
2025-06-22 18:30:00,31.7,30.5,31.1,360936
2025-06-23 18:30:00,33.3,31.2,32.9,1021847
2025-06-24 18:30:00,34.0,33.5,33.6,495180
2025-06-25 18:30:00,33.8,33.3,33.6,377777
2025-06-26 18:30:00,34.0,33.6,34.0,793040
2025-06-29 18:30:00,33.2,32.3,32.8,954723
2025-06-30 18:30:00,33.0,32.4,32.6,247843
2025-07-01 18:30:00,32.8,32.4,32.5,292745
2025-07-02 18:30:00,32.5,32.0,32.3,379739
2025-07-03 18:30:00,32.4,32.0,32.4,79813
2025-07-06 18:30:00,32.4,32.0,32.1,254510
2025-07-07 18:30:00,32.3,32.1,32.2,268670
2025-07-08 18:30:00,32.5,32.2,32.4,111305
2025-07-10 18:30:00,33.5,32.5,33.3,257868
2025-07-13 18:30:00,33.8,33.0,33.5,303676
2025-07-14 18:30:00,33.8,32.9,33.1,338476
2025-07-15 18:30:00,33.5,33.0,33.1,133540
2025-07-16 18:30:00,33.3,32.7,32.8,391452
2025-07-18 04:00:07,33.1,32.8,33.0,287466
2025-07-20 18:30:00,33.6,32.8,33.0,637570
2025-07-21 18:30:00,34.4,33.0,34.0,1699884
2025-07-22 18:30:00,35.2,34.1,35.0,1758523
2025-07-23 18:30:00,35.0,34.0,34.1,310737
2025-07-24 18:30:00,34.5,33.9,34.1,462818
2025-07-27 18:30:00,35.0,34.4,34.5,1113893
2025-07-28 18:30:00,35.1,34.3,34.7,851998
2025-07-29 18:30:00,34.9,34.5,34.7,843555
2025-07-30 18:30:00,35.9,34.7,35.5,3494620
2025-07-31 18:30:00,36.4,35.6,35.7,524073
2025-08-03 18:30:00,36.1,35.2,35.3,539585
2025-08-04 18:30:00,35.9,34.8,34.9,166549
2025-08-05 18:30:00,35.5,34.7,35.2,236223
2025-08-06 18:30:00,35.5,34.9,35.4,125910
2025-08-10 18:30:00,35.4,34.9,35.0,141111
2025-08-11 18:30:00,35.0,34.9,34.9,273850
2025-08-12 18:30:00,35.0,34.8,35.0,342595
2025-08-13 18:30:00,35.4,35.0,35.2,397350
2025-08-14 18:30:00,35.5,34.9,35.0,209341
2025-08-17 18:30:00,35.6,34.9,35.5,324394
2025-08-18 18:30:00,36.2,35.7,35.9,866084
2025-08-19 18:30:00,36.0,35.5,35.6,188126
2025-08-20 18:30:00,36.0,35.5,35.8,190173
2025-08-21 18:30:00,36.2,35.9,36.0,194501
2025-08-24 18:30:00,36.2,35.5,35.8,235297
2025-08-24 18:30:00,36.2,35.5,35.8,235297
2025-08-25 18:30:00,36.1,35.8,35.9,301166
2025-08-26 18:30:00,36.2,35.8,36.2,348424
2025-08-27 18:30:00,36.3,35.9,36.0,174769
2025-08-28 18:30:00,36.2,35.5,36.0,275322
2025-08-31 18:30:00,36.2,35.8,36.1,764596
2025-09-01 18:30:00,36.1,35.8,36.0,150256
2025-09-02 18:30:00,36.1,35.8,36.0,238681
2025-09-03 18:30:00,36.1,35.0,35.8,247248
2025-09-07 18:30:00,35.9,35.0,35.1,246066
2025-09-08 18:30:00,35.8,35.1,35.2,133319
2025-09-09 18:30:00,35.1,33.7,34.4,518238
2025-09-10 18:30:00,35.0,34.2,34.7,211541
2025-09-11 18:30:00,39.0,34.4,36.1,348579
2025-09-14 18:30:00,36.5,35.3,35.7,294623
2025-09-15 18:30:00,36.4,35.6,36.1,168430
2025-09-16 18:30:00,36.2,35.8,35.8,160895
2025-09-17 18:30:00,36.1,35.5,35.8,401738
2025-09-18 18:30:00,36.2,35.7,36.1,275499
2025-09-21 18:30:00,36.2,35.9,35.9,159020
2025-09-22 18:30:00,36.3,35.8,35.9,147818
2025-09-23 18:30:00,36.1,35.6,36.0,243609
2025-09-24 18:30:00,37.2,36.0,36.6,1494257
2025-09-25 18:30:00,38.5,37.0,38.1,1176867
2025-09-28 18:30:00,40.6,38.2,40.4,2739224
2025-09-29 18:30:00,44.6,40.6,44.4,3652626
2025-09-30 18:30:00,44.5,43.0,43.3,1685159
2025-10-01 18:30:00,43.7,43.2,43.3,317637
2025-10-02 18:30:00,44.4,43.2,44.0,652272
2025-10-06 18:30:00,44.2,43.5,43.9,375986
2025-10-07 18:30:00,43.5,42.6,43.3,516065
2025-10-08 18:30:00,43.8,42.9,43.6,261883
2025-10-09 18:30:00,44.0,43.2,43.9,355221
2025-10-12 18:30:00,44.0,43.5,43.8,238121
2025-10-13 18:30:00,44.1,43.5,43.6,153653
2025-10-14 18:30:00,44.0,43.1,43.8,228808
2025-10-15 18:30:00,43.7,43.1,43.3,223421
2025-10-16 18:30:00,43.6,34.5,43.4,338426
2025-10-20 18:30:00,45.8,43.5,45.1,1273372
2025-10-21 18:30:00,46.6,44.9,46.3,1833921
2025-10-22 18:30:00,48.3,46.0,47.6,1068290
2025-10-23 18:30:00,48.5,47.5,48.1,1225915
2025-10-26 18:30:00,48.5,47.5,47.9,921558
2025-10-27 18:30:00,48.2,47.0,48.0,589155
2025-10-28 18:30:00,48.2,47.0,47.4,271284
2025-10-29 18:30:00,48.0,47.4,48.0,274295
2025-10-30 18:30:00,48.2,47.8,48.1,264284
2025-11-02 18:30:00,52.5,48.0,49.2,1144925
2025-11-03 18:30:00,52.0,51.3,51.6,1839653
2025-11-05 18:30:00,54.5,52.0,53.1,1781626
2025-11-06 18:30:00,53.5,52.7,53.2,1142836
2025-11-09 18:30:00,53.5,51.5,51.9,539409
2025-11-10 18:30:00,53.2,51.0,52.4,935215
2025-11-11 18:30:00,52.5,51.0,51.9,306996
2025-11-12 18:30:00,52.0,51.0,51.5,406504
2025-11-13 18:30:00,51.0,49.7,49.8,706935
2025-11-16 18:30:00,50.0,48.0,48.9,308182
2025-11-17 18:30:00,49.0,47.3,47.6,917305
2025-11-18 18:30:00,47.3,46.1,46.8,396723
2025-11-19 18:30:00,47.0,45.5,45.8,1326960
2025-11-20 18:30:00,48.0,46.3,46.7,340420
2025-11-23 18:30:00,47.9,45.9,46.8,322748
2025-11-24 18:30:00,48.3,46.7,48.0,264788
2025-11-25 18:30:00,48.5,48.0,48.4,69655
2025-11-26 18:30:00,48.5,47.5,47.5,224232
2025-11-27 18:30:00,48.0,46.9,47.8,35504
2025-11-30 18:30:00,47.0,43.0,44.8,728965
2025-12-01 18:30:00,46.5,43.0,46.3,343383
2025-12-02 18:30:00,46.5,45.5,45.5,264849
2025-12-04 18:30:00,45.6,42.5,42.9,625494
2025-12-07 18:30:00,43.9,43.0,43.8,325742
2025-12-08 18:30:00,48.0,43.9,47.9,424906
2025-12-09 18:30:00,49.4,47.9,49.0,340484
2025-12-10 18:30:00,49.3,47.8,48.0,126439
2025-12-11 18:30:00,48.5,46.8,47.1,355742
2025-12-14 18:30:00,48.4,47.5,47.7,310473
2025-12-15 18:30:00,47.8,46.6,47.2,88605
2025-12-16 18:30:00,47.5,46.4,46.5,151105
2025-12-17 18:30:00,47.1,46.5,46.8,31256
2025-12-18 18:30:00,47.0,46.5,46.6,70390
2025-12-21 18:30:00,46.6,45.4,45.5,244149
2025-12-22 18:30:00,46.2,45.5,45.7,89735
2025-12-23 18:30:00,46.2,45.5,46.1,56561
2025-12-25 18:30:00,46.5,45.9,46.0,81624
2025-12-28 18:30:00,46.5,45.9,46.3,177584
2025-12-29 18:30:00,46.5,46.1,46.2,55915
2025-12-30 18:30:00,47.5,46.0,46.7,299731
2026-01-01 18:30:00,48.2,47.0,47.6,301481
2026-01-04 18:30:00,49.1,48.0,48.7,177357
2026-01-05 18:30:00,49.4,48.7,49.0,236364
2026-01-07 18:30:00,49.5,48.8,49.0,164719
2026-01-08 18:30:00,49.2,48.8,48.8,648604
